time,force,rate
0.0,0.0,130.65
0.05,0.0,131.3
0.1,1.0787949630537071e-09,131.94999999994582
0.15000000000000002,3.337657034626956e-09,132.599999999832
0.2,6.779498636439643e-09,133.24999999965826
0.25,1.139764479677723e-08,133.89999999942447
0.30000000000000004,1.7184780091763616e-08,134.54999999913082
0.35000000000000003,2.41338345397283e-08,135.19999999877732
0.4,3.223805631942653e-08,135.84999999836407
0.45,4.1491003267577227e-08,136.49999999789102
0.5,5.188652703133215e-08,137.1499999973583
0.55,6.341875729038502e-08,137.79999999676585
0.6000000000000001,7.608208684079372e-08,138.44999999611363
0.65,8.987115731214051e-08,139.0999999954017
0.7000000000000001,1.0478084572817774e-07,139.74999999463003
0.75,1.2080625180213868e-07,140.39999999379856
0.8,1.379426859205616e-07,141.04999999290726
0.8500000000000001,1.5618565777770994e-07,141.69999999195605
0.9,1.7553086562529862e-07,142.34999999094492
0.9500000000000001,1.9597418610420828e-07,142.99999998987377
1.0,2.175116646266793e-07,143.64999998874254
1.05,2.4013950627918083e-07,144.2999999875511
1.1,2.638540672177684e-07,144.9499999862994
1.1500000000000001,2.8865184652926404e-07,145.59999998498736
1.2000000000000002,3.1452947853304266e-07,146.24999998361483
1.25,3.414837254995682e-07,146.89999998218173
1.3,3.695114707631186e-07,147.54999998068797
1.35,3.9860971220735547e-07,148.19999997913342
1.4000000000000001,4.287755561035594e-07,148.84999997751794
1.4500000000000002,4.6000621128242855e-07,149.4999999758414
1.5,4.922989836213901e-07,150.1499999741037
1.55,5.256512708303389e-07,150.79999997230468
1.6,5.600605575196435e-07,151.44999997044417
1.6500000000000001,5.955244105351483e-07,152.09999996852213
1.7000000000000002,6.320404745457019e-07,152.7499999665383
1.75,6.696064678695565e-07,153.3999999644926
1.8,7.082201785266874e-07,154.04999996238485
1.85,7.478794605048242e-07,154.69999996021494
1.9000000000000001,7.885822302275976e-07,155.34999995798262
1.9500000000000002,8.303264632138834e-07,155.99999995568785
2.0,8.731101909179766e-07,156.64999995333037
2.0500000000000003,9.169314977408088e-07,157.29999995091006
2.1,9.617885182029594e-07,157.94999994842678
2.15,1.007679434270679e-06,158.59999994588028
2.2,1.054602472826668e-06,159.2499999432705
2.25,1.1025559032777502e-06,159.89999994059718
2.3000000000000003,1.1515380352920425e-06,160.5499999378602
2.35,1.2015472166586135e-06,161.19999993505937
2.4000000000000004,1.252581831262977e-06,161.8499999321945
2.45,1.3046402971721856e-06,162.4999999292654
2.5,1.3577210648235584e-06,163.14999992627193
2.5500000000000003,1.4118226153114396e-06,163.79999992321387
2.6,1.4669434587666965e-06,164.4499999200911
2.6500000000000004,1.523082132823924e-06,165.0999999169034
2.7,1.5802372011715943e-06,165.7499999136506
2.75,1.6384072521806913e-06,166.39999991033247
2.8000000000000003,1.6975908976075579e-06,167.04999990694893
2.85,1.7577867713669405e-06,167.69999990349967
2.9000000000000004,1.8189935283714397e-06,168.3499998999846
2.95,1.8812098434337646e-06,168.99999989640347
3.0,1.9444344102283974e-06,169.6499998927561
3.0500000000000003,2.008665940309436e-06,170.2999998890424
3.1,2.0739031621815988e-06,170.94999988526206
3.1500000000000004,2.140144820421484e-06,171.59999988141493
3.2,2.2073896748463984e-06,172.24999987750084
3.25,2.2756364997281297e-06,172.8999998735196
3.3000000000000003,2.344884083049293e-06,173.54999986947098
3.35,2.4151312257998867e-06,174.19999986535484
3.4000000000000004,2.486376741311917e-06,174.849999861171
3.45,2.558619454630023e-06,175.4999998569192
3.5,2.6318582019161433e-06,176.1499998525993
3.5500000000000003,2.706091829886396e-06,176.7999998482111
3.6,2.7813191952784073e-06,177.44999984375437
3.6500000000000004,2.857539164347404e-06,178.099999839229
3.7,2.9347506123895876e-06,178.74999983463474
3.75,3.0129524232912964e-06,179.39999982997145
3.8000000000000003,3.0921434891023907e-06,180.04999982523884
3.85,3.172322709632838e-06,180.6999998204368
3.9000000000000004,3.2534889920710967e-06,181.34999981556513
3.95,3.3356412506233254e-06,181.9999998106236
4.0,3.4187784061720604e-06,182.64999980561205
4.05,3.502899385953341e-06,183.2999998005303
4.1000000000000005,3.588003123251275e-06,183.9499997953781
4.15,3.6740885571090966e-06,184.59999979015527
4.2,3.7611546320558024e-06,185.2499997848617
4.25,3.8492002978475615e-06,185.89999977949708
4.3,3.938224509223128e-06,186.54999977406135
4.3500000000000005,4.028226225672451e-06,187.1999997685542
4.4,4.119204411217768e-06,187.84999976297547
4.45,4.21115803420656e-06,188.49999975732504
4.5,4.3040860671156255e-06,189.1499997516026
4.55,4.397987486365817e-06,189.79999974580804
4.6000000000000005,4.4928612721467145e-06,190.44999973994112
4.65,4.588706408250795e-06,191.0999997340017
4.7,4.6855218819165595e-06,191.74999972798952
4.75,4.783306683680103e-06,192.39999972190446
4.800000000000001,4.882059807234737e-06,193.0499997157463
4.8500000000000005,4.981780249298133e-06,193.6999997095148
4.9,5.082467009486683e-06,194.3499997032099
4.95,5.1841190901966155e-06,194.99999969683125
5.0,5.286735496491487e-06,195.64999969037876
5.050000000000001,5.3903152359958424e-06,196.29999968385215
5.1000000000000005,5.4948573187944695e-06,196.94999967725136
5.15,5.600360757337207e-06,197.5999996705761
5.2,5.706824566348799e-06,198.2499996638262
5.25,5.814247762743657e-06,198.89999965700147
5.300000000000001,5.922629365545162e-06,199.54999965010174
5.3500000000000005,6.0319683958093584e-06,200.1999996431268
5.4,6.142263876552722e-06,200.84999963607646
5.45,6.253514832683834e-06,201.49999962895055
5.5,6.365720290938722e-06,202.14999962174886
