time,força_total,rate
0.0,85.0,85.0
0.05,85.0,85.0
0.1,85.0,85.0
0.15000000000000002,85.0,85.0
0.2,84.99999907396524,84.99999907396524
0.25,84.9999985376235,84.9999985376235
0.30000000000000004,84.99999788425954,84.99999788425954
0.35000000000000003,84.99999711372504,84.99999711372504
0.4,84.99999622556358,84.99999622556358
0.45,84.99999521928721,84.99999521928721
0.5,84.99999409447103,84.99999409447103
0.55,84.99999285077686,84.99999285077686
0.6000000000000001,84.99999148795109,84.99999148795109
0.65,84.99999000581452,84.99999000581452
0.7000000000000001,84.99998840425047,84.99998840425047
0.75,84.99998668319381,84.99998668319381
0.8,84.99998484262129,84.99998484262129
0.8500000000000001,84.99998288254375,84.99998288254375
0.9,84.9999808029995,84.9999808029995
0.9500000000000001,84.99997860404916,84.99997860404916
1.0,84.99997628577144,84.99997628577144
1.05,84.9999738482598,84.9999738482598
1.1,84.99997129161981,84.99997129161981
1.1500000000000001,84.99996861596702,84.99996861596702
1.2000000000000002,84.99996582142528,84.99996582142528
1.25,84.99996290812538,84.99996290812538
1.3,84.99995987620404,84.99995987620404
1.35,84.99995672580299,84.99995672580299
1.4000000000000001,84.99995345706829,84.99995345706829
1.4500000000000002,84.99995007014977,84.99995007014977
1.5,84.99994656520062,84.99994656520062
1.55,84.99994294237695,84.99994294237695
1.6,84.9999392018375,84.9999392018375
1.6500000000000001,84.99993534374343,84.99993534374343
1.7000000000000002,84.99993136825802,84.99993136825802
1.75,84.99992727554655,84.99992727554655
1.8,84.9999230657761,84.9999230657761
1.85,84.99991873911547,84.99991873911547
1.9000000000000001,84.999914295735,84.999914295735
1.9500000000000002,84.99990973580647,84.99990973580647
2.0,84.99990505950306,84.99990505950306
2.0500000000000003,84.99990026699922,84.99990026699922
2.1,84.99989535847062,84.99989535847062
2.15,84.99989033409403,84.99989033409403
2.2,84.99988519404734,84.99988519404734
2.25,84.99987993850941,84.99987993850941
2.3000000000000003,84.99987456766011,84.99987456766011
2.35,84.9998690816802,84.9998690816802
2.4000000000000004,84.99986348075129,84.99986348075129
2.45,84.99985776505582,84.99985776505582
2.5,84.99985193477704,84.99985193477704
2.5500000000000003,84.9998459900989,84.9998459900989
