Muscle,Force Level,ISI mean,ISI SD,ISI CV,FR mean,FR Mean
VM,15,0.11110799078153989,0.008361009115901888,0.07525119531988722,9.047013342750201,9.047013342750201
VM,15,0.11710399960210577,0.007243673840537744,0.06185675865171294,8.571945051693966,8.571945051693966
VM,15,0.11354262408088237,0.014356026975632638,0.1264373365671564,8.946765046236575,8.946765046236575
VM,15,0.1485250748212065,0.011174974644813812,0.07523964999355276,6.768389303947893,6.768389303947893
VM,15,0.1361894731228669,0.009838818734090855,0.07224360670824027,7.381582045909108,7.381582045909108
VM,15,0.17037447415865387,0.03971420350904272,0.23309949278000755,6.005529598684916,6.005529598684916
VM,15,0.1575782401154224,0.011807672965184273,0.07493212867801688,6.379716225048478,6.379716225048478
VM,15,0.16432796556122448,0.010618003373135638,0.06461470716120828,6.1103504957748545,6.1103504957748545
VM,15,0.12528284489633174,0.007886787404522064,0.0629518543504354,8.006218899266292,8.006218899266292
VM,15,0.12311999147142123,0.02344453386206823,0.19042020375310215,8.2048455596831,8.2048455596831
VM,15,0.11705028436888454,0.021141293147818742,0.18061718740632748,8.626932982414054,8.626932982414054
VM,15,0.12878538726478497,0.024714692062993433,0.1919060274453312,7.857333121086775,7.857333121086775
VM,15,0.1523164618369987,0.03661351248622026,0.24037790823556662,6.729204645034805,6.729204645034805
VM,15,0.1675845623685133,0.02861567038553216,0.17075361823965135,6.035939234804743,6.035939234804743
VM,15,0.1652536901365837,0.02791832889298023,0.16894224189429885,6.143818570761715,6.143818570761715
VM,30,0.1167287160923754,0.008068700046940103,0.06912352261764612,8.609398814324681,8.609398814324681
VM,30,0.1039184253246753,0.006273456140335842,0.06036904543862654,9.658620398533897,9.658620398533897
VM,30,0.12217782396788987,0.0067625661758481705,0.05535019331843291,8.20986008114355,8.20986008114355
VM,30,0.13747912176724136,0.007574065726635658,0.05509247971091137,7.29550744280097,7.29550744280097
VM,30,0.13841213650173614,0.015523856868765293,0.1121567606795129,7.287683978922677,7.287683978922677
VM,30,0.1362504666168942,0.010379692442679242,0.07618096803928469,7.381249852295316,7.381249852295316
VM,30,0.15313401442307695,0.014034252734531545,0.09164686753236853,6.583495478254169,6.583495478254169
VM,30,0.13826942311851212,0.007245692598734239,0.052402710847530495,7.252162731000369,7.252162731000369
VM,30,0.13217692327657804,0.006980787772334999,0.05281396781893474,7.58655788557742,7.58655788557742
VM,30,0.13591183607081914,0.011651570331838796,0.08572888623009663,7.4129009130850605,7.4129009130850605
VM,30,0.10754184517809144,0.005358551006789976,0.04982759034788838,9.322286255703652,9.322286255703652
VM,30,0.10196728888358778,0.00660869111295612,0.06481187433061023,9.848021183097742,9.848021183097742
VM,30,0.13213569691639068,0.008153598017679897,0.0617062475013025,7.59702481259594,7.59702481259594
VM,30,0.10918875939207649,0.006256607621084902,0.0573008399025635,9.188809819813693,9.188809819813693
VM,30,0.13176825495049507,0.011292918914431144,0.08570287979205507,7.6460448382348005,7.6460448382348005
VM,30,0.12837292086693547,0.009871660619491143,0.07689830964992672,7.8362747422523125,7.8362747422523125
VM,30,0.1359115027730375,0.011861898095695548,0.08727663114360577,7.414950103472489,7.414950103472489
VM,30,0.14183684108096078,0.011618675445137817,0.08191577982553808,7.096166615098716,7.096166615098716
VM,5,0.1283450405697347,0.014662059892264327,0.11423939582844946,7.887449628198312,7.887449628198312
VM,5,0.1354978807929422,0.013013905929879784,0.09604508833438265,7.444397771647743,7.444397771647743
VM,5,0.1319342426287375,0.017339679841657248,0.13142668268806487,7.703894592562226,7.703894592562226
VM,5,0.11157206075174823,0.010874230305987768,0.09746373987107143,9.044611159536872,9.044611159536872
VM,5,0.11792649489182692,0.01325162123175511,0.11237187405519618,8.573710261354888,8.573710261354888
VM,5,0.12738292240253216,0.02088716494692058,0.16397146927526746,8.03181402107252,8.03181402107252
VM,5,0.16849923499042668,0.02443395494144753,0.1450092930263793,6.034320144053303,6.034320144053303
VM,5,0.16504277364956568,0.02071601839710484,0.12551908780381404,6.1456559753230415,6.1456559753230415
VM,5,0.12529873131392605,0.01900006060789218,0.15163809249025062,8.12270158142284,8.12270158142284
VL,15,0.11979104693762527,0.007794061080164237,0.06506380300877222,8.38332312613445,8.38332312613445
VL,15,0.12278709333290556,0.007149153871530333,0.05822398492769305,8.171862339762805,8.171862339762805
VL,15,0.1151648219441771,0.009715532348831397,0.08436197950742916,8.748265151010239,8.748265151010239
VL,15,0.14484819795642495,0.015058050873138844,0.10395746088376465,6.975537499718221,6.975537499718221
VL,15,0.11471756390684869,0.0064159221549144625,0.055927984664355564,8.744755989543371,8.744755989543371
VL,15,0.12023667626510574,0.007139183096884046,0.05937608489062942,8.345929523928373,8.345929523928373
VL,15,0.1266594321040784,0.00977551245264455,0.0771795064153756,7.942548183595951,7.942548183595951
VL,15,0.1261165570609177,0.01348817916439092,0.10695010614566465,8.03013526748907,8.03013526748907
VL,15,0.11933875824825696,0.013401416512876928,0.11229726795881645,8.429311957409363,8.429311957409363
VL,15,0.13473659206081084,0.013391934179688971,0.09939344594410382,7.468556711758696,7.468556711758696
VL,15,0.12368573067476733,0.013950640342505038,0.11279102501474778,8.165627653567476,8.165627653567476
VL,5,0.13647259929781305,0.014993173086951162,0.10986214935521804,7.411024812063444,7.411024812063444
VL,5,0.14267893427690584,0.015207138362294686,0.10658292648010148,7.081730880249452,7.081730880249452
VL,5,0.1584452576479438,0.022472428572555624,0.1418308689458416,6.417598503212657,6.417598503212657
VL,5,0.14910967087128477,0.02327440047536089,0.15608914122982634,6.843327668884318,6.843327668884318
