MU,ISI,Force Level
MU_1,0.10224609374999716,5
MU_1,0.09218750000000853,5
MU_1,0.08857421874999716,5
MU_1,0.08779296874999432,5
MU_1,0.09833984374999716,5
MU_1,0.10332031250000284,5
MU_1,0.10302734375,5
MU_1,0.09150390624999716,5
MU_1,0.10546875,5
MU_1,0.08916015625000284,5
MU_1,0.13027343750000853,5
MU_1,0.09199218749999716,5
MU_1,0.10673828125000284,5
MU_1,0.11904296874999432,5
MU_1,0.09521484375,5
MU_1,0.10263671875000568,5
MU_1,0.09755859374999432,5
MU_1,0.09775390625000568,5
MU_1,0.11162109374998863,5
MU_1,0.109375,5
MU_1,0.10410156250000568,5
MU_1,0.11289062500000568,5
MU_1,0.103515625,5
MU_1,0.10683593749999432,5
MU_1,0.10664062499999716,5
MU_1,0.10429687500000284,5
MU_1,0.1220703125,5
MU_1,0.11894531250000284,5
MU_1,0.13017578125000284,5
MU_1,0.10146484374999432,5
MU_1,0.10781249999999432,5
MU_1,0.10517578125001137,5
MU_1,0.10595703125,5
MU_1,0.12363281249999147,5
MU_1,0.11943359375000284,5
MU_1,0.11572265625,5
MU_1,0.11777343750000568,5
MU_1,0.1181640625,5
MU_1,0.10888671875,5
MU_1,0.1142578125,5
MU_1,0.11894531249998863,5
MU_1,0.12421875000001137,5
MU_1,0.09999999999999432,5
MU_1,0.11992187500000284,5
MU_1,0.10468749999999716,5
MU_1,0.11113281250000284,5
MU_1,0.10400390625,5
MU_1,0.09511718749999432,5
MU_1,0.11347656249999716,5
MU_1,0.11464843750000853,5
MU_1,0.10664062499999716,5
MU_1,0.1083984375,5
MU_1,0.10664062499999716,5
MU_1,0.0966796875,5
MU_1,0.09052734374999716,5
MU_1,0.09599609375000284,5
MU_1,0.09990234375000284,5
MU_1,0.11328125,5
MU_1,0.11445312499999716,5
MU_1,0.08876953125000853,5
MU_1,0.09501953124998863,5
MU_1,0.10732421875000853,5
MU_1,0.11484374999999147,5
MU_1,0.10566406250001137,5
MU_1,0.10146484374999432,5
MU_1,0.10849609375000568,5
MU_1,0.10302734375,5
MU_1,0.10117187499999147,5
MU_1,0.12148437500000853,5
MU_1,0.10224609374999716,5
MU_1,0.11572265625,5
MU_1,0.11787109374999716,5
MU_1,0.10878906249999432,5
MU_1,0.11220703125000853,5
MU_1,0.12617187499999716,5
MU_1,0.109375,5
MU_1,0.1171875,5
MU_1,0.111328125,5
MU_1,0.11367187499999432,5
MU_1,0.11777343750000568,5
MU_1,0.1025390625,5
MU_1,0.10917968750000284,5
MU_1,0.10234375000000284,5
MU_1,0.09990234374998863,5
MU_1,0.10410156250000568,5
MU_1,0.10458984375000568,5
MU_1,0.11845703124998863,5
MU_1,0.11328125,5
MU_1,0.11601562500000284,5
MU_1,0.10917968750000284,5
MU_1,0.11953124999999432,5
MU_1,0.14091796875000284,5
MU_1,0.11474609375,5
MU_1,0.10712890624999716,5
MU_1,0.1142578125,5
MU_1,0.10371093750001137,5
MU_1,0.12939453125,5
MU_1,0.11357421874998863,5
MU_1,0.13818359375,5
MU_1,0.11748046875000284,5
MU_1,0.10781250000000853,5
MU_1,0.11054687499999716,5
MU_1,0.11220703124999432,5
MU_1,0.12431640625000284,5
MU_1,0.10498046875,5
MU_1,0.1259765625,5
MU_1,0.11367187499999432,5
MU_1,0.12070312500000568,5
MU_1,0.1171875,5
MU_1,0.09824218750000568,5
MU_1,0.12255859375,5
MU_1,0.10683593749999432,5
MU_1,0.10878906249999432,5
MU_1,0.10712890625001137,5
MU_1,0.10791015625,5
MU_1,0.10957031249999716,5
MU_1,0.10029296874999716,5
MU_1,0.11669921875,5
MU_1,0.09531250000000568,5
MU_1,0.1142578125,5
MU_1,0.11396484374999716,5
MU_1,0.10976562499999432,5
MU_1,0.109375,5
MU_1,0.10410156250000568,5
MU_1,0.12216796874999147,5
MU_1,0.11142578125000568,5
MU_1,0.10390624999999432,5
MU_1,0.09794921875000284,5
MU_1,0.09433593750000568,5
MU_1,0.10136718750000284,5
MU_1,0.11201171874999716,5
MU_1,0.11923828124999147,5
MU_1,0.10224609375001137,5
MU_1,0.10419921874999716,5
MU_1,0.10302734375,5
MU_1,0.09980468749999716,5
MU_1,0.1123046875,5
MU_1,0.11474609375,5
MU_1,0.11679687500000568,5
MU_1,0.11552734374998863,5
MU_1,0.10917968750000284,5
MU_1,0.11601562500000284,5
MU_1,0.10908203124999716,5
MU_1,0.14443359375000853,5
MU_1,0.12265624999999147,5
MU_1,0.09882812499999716,5
MU_1,0.12119140625000568,5
MU_1,0.11923828125000568,5
MU_1,0.11992187499998863,5
MU_1,0.1103515625,5
MU_1,0.12451171875,5
MU_1,0.11123046875000853,5
MU_1,0.13232421875,5
MU_1,0.10615234374999716,5
MU_1,0.11015625000000284,5
MU_1,0.1181640625,5
MU_1,0.11611328124999432,5
MU_1,0.10820312500000284,5
MU_1,0.12431640625000284,5
MU_1,0.10732421874999432,5
MU_1,0.10634765625000853,5
MU_1,0.10556640624999147,5
MU_1,0.11015625000000284,5
MU_1,0.09453125000000284,5
MU_1,0.107421875,5
MU_1,0.11953124999999432,5
MU_1,0.10468749999999716,5
MU_1,0.11064453125000284,5
MU_1,0.11308593750000284,5
MU_1,0.11542968749999716,5
MU_1,0.09902343750000853,5
MU_1,0.10703124999999147,5
MU_1,0.10781250000000853,5
MU_1,0.11406249999998863,5
MU_1,0.09521484375,5
MU_1,0.11601562500000284,5
MU_1,0.10195312500000853,5
MU_1,0.11513671874999432,5
MU_1,0.10244140624999432,5
MU_1,0.09980468750001137,5
MU_1,0.10693359375,5
MU_1,0.10751953124999147,5
MU_1,0.13623046875,5
MU_1,0.10927734375000853,5
MU_1,0.10419921874999716,5
MU_1,0.11757812499999432,5
MU_1,0.11552734375000284,5
MU_1,0.10791015625,5
MU_1,0.1064453125,5
MU_1,0.11484375000000568,5
MU_1,0.12802734374999147,5
MU_1,0.11494140624999716,5
MU_1,0.1142578125,5
MU_1,0.11201171875001137,5
MU_1,0.09951171874999432,5
MU_1,0.09990234375000284,5
MU_1,0.1005859375,5
MU_1,0.09990234375000284,5
MU_1,0.11064453124998863,5
MU_1,0.12236328125000284,5
MU_1,0.12382812500000284,5
MU_1,0.11464843749999432,5
MU_1,0.14140625000000284,5
MU_2,0.15869140625,5
MU_2,0.13251953125000426,5
MU_2,0.14179687499999716,5
MU_2,0.2840820312500014,5
MU_2,0.19414062500000284,5
