time,força_total,rate
0.0,8.16195976587e-312,86.0
0.05,8.16534059756e-312,86.0
0.1,0.0,86.0
0.15000000000000002,0.0,86.0
0.2,0.0,86.0
0.25,0.0,86.0
0.30000000000000004,0.0,86.0
0.35000000000000003,0.0,86.0
0.4,0.0,86.0
0.45,0.0,86.0
0.5,0.0,86.0
0.55,0.0,86.0
0.6000000000000001,0.0,86.0
0.65,0.0,86.0
0.7000000000000001,0.0,86.0
0.75,0.0,86.0
0.8,0.0,86.0
0.8500000000000001,0.0,86.0
0.9,0.0,86.0
0.9500000000000001,0.0,86.0
1.0,0.0,86.0
1.05,0.0,86.0
1.1,0.0,86.0
1.1500000000000001,0.0,86.0
1.2000000000000002,0.0,86.0
1.25,0.0,86.0
1.3,0.0,86.0
1.35,0.0,86.0
1.4000000000000001,0.0,86.0
1.4500000000000002,0.0,86.0
1.5,0.0,86.0
1.55,0.0,86.0
1.6,0.0,86.0
1.6500000000000001,0.0,86.0
1.7000000000000002,0.0,86.0
1.75,0.0,86.0
1.8,0.0,86.0
1.85,0.0,86.0
1.9000000000000001,0.0,86.0
1.9500000000000002,0.0,86.0
2.0,0.0,86.0
2.0500000000000003,0.0,86.0
2.1,0.0,86.0
2.15,0.0,86.0
2.2,0.0,86.0
2.25,0.0,86.0
2.3000000000000003,0.0,86.0
2.35,0.0,86.0
2.4000000000000004,0.0,86.0
2.45,0.0,86.0
2.5,0.0,86.0
2.5500000000000003,0.0,86.0
2.6,0.0,86.0
2.6500000000000004,0.0,86.0
2.7,0.0,86.0
2.75,0.0,86.0
2.8000000000000003,0.0,86.0
2.85,0.0,86.0
2.9000000000000004,0.0,86.0
2.95,0.0,86.0
3.0,0.0,86.0
3.0500000000000003,0.0,86.0
3.1,0.0002059334276154914,85.99999794066572
3.1500000000000004,0.0005283994903233502,85.99999471600509
3.2,0.000850631616930468,85.99999149368384
3.25,0.0011726299347130903,85.99998827370065
3.3000000000000003,0.0014943945708859097,85.99998505605429
3.35,0.0018159256526020953,85.99998184074347
3.4000000000000004,0.002313216516969256,85.99997686783483
3.45,0.002810146387761616,85.99997189853612
3.5,0.003452958976586924,85.99996547041023
3.5500000000000003,0.004095305194202538,85.99995904694806
3.6,0.004737185294247595,85.99995262814706
3.6500000000000004,0.005378599530238634,85.9999462140047
3.7,0.008038778034663015,85.99991961221966
3.75,0.010726024734664037,85.99989273975265
3.8000000000000003,0.013411205971982738,85.99986588794027
3.85,0.016876946060014417,85.9998312305394
3.9000000000000004,0.021052501835961367,85.99978947498164
3.95,0.025224866116217742,85.99974775133884
4.0,0.02972167733710801,85.99970278322662
4.05,0.03679557094680325,85.99963204429054
4.1000000000000005,0.04386402550314679,85.99956135974497
4.15,0.050927044144771505,85.99949072955856
4.2,0.058042749561925136,85.99941957250438
