neuron_id,spike_time,spike_time_motor_plate
0,1340.9000000005954,1359.968258648534
0,1544.7000000013368,1563.7682586492754
0,1693.6500000018787,1712.7182586498172
0,1785.7500000022137,1804.8182586501523
0,1894.8000000026104,1913.868258650549
0,2021.6000000030717,2040.6682586510103
0,2119.0500000034262,2138.1182586513646
0,2196.1000000037066,2215.168258651645
0,2295.0000000040664,2314.0682586520047
0,2382.300000004384,2401.3682586523223
0,2477.6000000047306,2496.668258652669
0,2558.450000005025,2577.518258652963
0,2631.7000000052913,2650.7682586532296
0,2717.400000005603,2736.4682586535414
0,2792.3000000058755,2811.368258653814
0,2868.4500000061525,2887.518258654091
0,2947.200000006439,2966.2682586543774
0,3036.000000006762,3055.0682586547005
0,3110.150000007032,3129.21825865497
0,3192.8000000073325,3211.868258655271
0,3259.8500000075765,3278.918258655515
0,3328.6500000078267,3347.718258655765
0,3396.0000000080718,3415.06825865601
0,3465.550000008325,3484.618258656263
0,3548.350000008626,3567.4182586565644
0,3632.2500000089312,3651.3182586568696
0,3703.950000009192,3723.0182586571304
0,3793.850000009519,3812.9182586574575
0,3877.5500000098236,3896.618258657762
0,3946.950000010076,3966.0182586580145
0,4019.9500000103417,4039.01825865828
0,4095.100000010615,4114.168258658554
0,4173.350000009493,4192.418258657432
0,4249.500000008385,4268.568258656323
0,4327.900000007244,4346.968258655183
0,4412.500000006013,4431.5682586539515
0,4498.500000004761,4517.5682586527
0,4565.5500000037855,4584.618258651724
0,4641.800000002676,4660.868258650615
0,4722.3000000015045,4741.368258649443
0,4798.600000000394,4817.668258648333
0,4868.699999999374,4887.768258647313
0,4942.649999998298,4961.718258646237
0,5034.999999996954,5054.068258644893
0,5112.499999995826,5131.568258643765
0,5191.24999999468,5210.318258642619
0,5266.099999993591,5285.16825864153
0,5335.049999992588,5354.118258640527
0,5401.749999991617,5420.818258639556
0,5485.249999990402,5504.318258638341
0,5569.499999989176,5588.568258637115
0,5639.4999999881575,5658.568258636096
0,5702.399999987242,5721.468258635181
0,5783.749999986058,5802.818258633997
0,5861.5999999849255,5880.668258632864
0,5941.9999999837555,5961.068258631694
0,6018.199999982647,6037.2682586305855
0,6096.29999998151,6115.368258629449
0,6176.749999980339,6195.818258628278
0,6251.6499999792495,6270.718258627188
0,6332.69999997807,6351.768258626009
0,6420.449999976793,6439.518258624732
0,6504.749999975566,6523.818258623505
0,6579.249999974482,6598.318258622421
0,6654.949999973381,6674.01825862132
0,6729.049999972302,6748.118258620241
0,6798.849999971287,6817.9182586192255
0,6889.499999969968,6908.568258617906
0,6969.899999968798,6988.968258616736
0,7043.94999996772,7063.018258615659
0,7136.299999966376,7155.368258614315
0,7205.949999965363,7225.018258613301
0,7294.3999999640755,7313.468258612014
0,7372.5999999629375,7391.668258610876
0,7448.499999961833,7467.568258609772
0,7543.749999960447,7562.818258608386
0,7645.649999958964,7664.718258606903
0,7724.699999957814,7743.768258605753
0,7820.099999956426,7839.168258604364
0,7892.699999955369,7911.768258603308
0,7964.349999954326,7983.418258602265
0,8031.599999953348,8050.668258601287
0,8104.449999952288,8123.5182586002265
0,8177.199999951229,8196.268258599168
0,8252.599999950133,8271.66825859807
0,8322.549999949115,8341.618258597053
0,8394.049999948074,8413.118258596012
0,8478.599999946844,8497.668258594782
0,8559.24999994567,8578.318258593608
0,8636.399999944548,8655.468258592486
0,8708.649999943496,8727.718258591434
0,8787.39999994235,8806.468258590288
0,8866.599999941198,8885.668258589136
0,8935.399999940197,8954.468258588135
0,9011.149999939094,9030.218258587032
0,9081.799999938066,9100.868258586004
0,9163.449999936878,9182.518258584816
0,9270.849999935315,9289.918258583253
0,9357.249999934058,9376.318258581996
0,9431.599999932976,9450.668258580914
0,9516.59999993174,9535.668258579677
0,9592.999999930627,9612.068258578565
0,9676.69999992941,9695.768258577347
0,9758.649999928217,9777.718258576155
0,9836.549999927083,9855.618258575021
0,9915.699999925931,9934.76825857387
0,9990.74999992484,10009.818258572777
1,915.3499999995414,935.0319827724779
1,1066.8499999995984,1086.5319827725348
1,1151.1999999999052,1170.8819827728416
1,1246.9500000002536,1266.63198277319
1,1351.4500000006337,1371.1319827735701
1,1443.7500000009695,1463.431982773906
1,1512.9500000012213,1532.6319827741577
1,1585.4000000014848,1605.0819827744212
1,1667.4500000017833,1687.1319827747197
1,1745.7500000020682,1765.4319827750046
1,1817.8500000023305,1837.531982775267
1,1883.3000000025686,1902.981982775505
1,1957.5000000028385,1977.181982775775
1,2032.2000000031103,2051.8819827760467
1,2098.350000003351,2118.0319827762874
1,2169.4000000036094,2189.081982776546
1,2239.050000003863,2258.731982776799
1,2307.550000004112,2327.2319827770484
1,2376.1500000043616,2395.831982777298
1,2443.5000000046066,2463.181982777543
1,2501.550000004818,2521.231982777754
1,2569.1000000050635,2588.781982778
1,2640.5000000053233,2660.1819827782597
1,2700.900000005543,2720.5819827784794
1,2773.500000005807,2793.1819827787435
1,2846.050000006071,2865.7319827790075
1,2918.100000006333,2937.7819827792696
1,2981.050000006562,3000.7319827794986
1,3047.200000006803,3066.8819827797392
1,3111.4500000070366,3131.131982779973
1,3169.350000007247,3189.0319827801836
1,3233.9500000074822,3253.6319827804186
1,3295.3500000077056,3315.031982780642
1,3355.4500000079242,3375.1319827808607
1,3424.0000000081736,3443.68198278111
1,3495.800000008435,3515.4819827813712
1,3563.4000000086808,3583.081982781617
1,3625.850000008908,3645.5319827818444
1,3686.7000000091293,3706.3819827820657
1,3749.4500000093576,3769.131982782294
1,3814.150000009593,3833.8319827825294
