Folder,File,Muscle,Force_Level,Plateau,MU,ISI_Mean_ms,ISI_SD_ms,ISI_CV,Firing_Rate_Hz,Num_Spikes
P01_iEMG_Ramps,VL_05.mat,VL,5,1,1,103.46325493847151,12.490588180121238,0.12072487171942596,9.665267157839654,387
P01_iEMG_Ramps,VL_05.mat,VL,5,1,2,134.66995497881356,18.35115520685879,0.136267627101723,7.425561255718257,296
P01_iEMG_Ramps,VL_05.mat,VL,5,1,3,115.04502407340117,12.256273000127962,0.10653457721307616,8.692249039488912,345
P01_iEMG_Ramps,VL_05.mat,VL,5,2,1,100.6366105163728,13.29337111014002,0.13209279448036748,9.936741657622777,398
P01_iEMG_Ramps,VL_05.mat,VL,5,2,2,130.5613000408497,21.275483941698276,0.16295398356972285,7.659237459240392,307
P01_iEMG_Ramps,VL_05.mat,VL,5,2,3,110.07877066115702,10.610793454124558,0.0963927321353048,9.084403777347646,364
P01_iEMG_Ramps,VL_05.mat,VL,5,3,1,101.28411787974683,10.012463621882384,0.09885521868068237,9.873216264639689,396
P01_iEMG_Ramps,VL_05.mat,VL,5,3,2,139.52687937062936,50.66367122899298,0.36311047346234687,7.167077802576452,287
P01_iEMG_Ramps,VL_05.mat,VL,5,3,3,111.99004784058988,10.73402410263577,0.09584801783382496,8.929364879131324,357
P01_iEMG_Ramps,VL_05.mat,VL,5,4,1,105.6142009755291,11.638340956232007,0.11019674294490586,9.468423666166833,379
P01_iEMG_Ramps,VL_05.mat,VL,5,4,2,146.3434761300738,26.996329639169183,0.18447238204984387,6.833239351996631,272
P01_iEMG_Ramps,VL_05.mat,VL,5,4,3,115.65196902252907,16.09127185329315,0.13913530387155415,8.646631859810354,345
P01_iEMG_Ramps,VL_15.mat,VL,15,1,5,84.24680897887323,9.149536759713639,0.10860395628762734,11.869885781083676,356
P01_iEMG_Ramps,VL_15.mat,VL,15,1,6,99.50944767441861,38.32499239153085,0.3851392333813872,10.049297060434544,302
P01_iEMG_Ramps,VL_15.mat,VL,15,1,7,1003.8591056034483,2254.1526393389695,2.2454870676138703,0.9961557298410633,30
P01_iEMG_Ramps,VL_15.mat,VL,15,1,8,124.13411458333333,46.68544749001415,0.3760887782276275,8.055803220223423,241
P01_iEMG_Ramps,VL_15.mat,VL,15,1,9,109.7882439108456,33.56620734924394,0.3057358980666604,9.108443348561599,273
P01_iEMG_Ramps,VL_15.mat,VL,15,1,10,821.6273716517857,803.7454849155936,0.9782360138510933,1.2170967454377974,29
P01_iEMG_Ramps,VL_15.mat,VL,15,2,1,94.86161244066456,7.643858135910543,0.08057904498188596,10.541671960567767,317
P01_iEMG_Ramps,VL_15.mat,VL,15,2,2,81.38852326766305,7.207005421927765,0.08855063505976184,12.286744615224096,369
P01_iEMG_Ramps,VL_15.mat,VL,15,2,3,124.60489908854167,24.911819147938033,0.19992648226644932,8.025366637385748,241
P01_iEMG_Ramps,VL_15.mat,VL,15,2,4,115.29357203185329,19.08664965474071,0.1655482549319181,8.673510434074505,260
P01_iEMG_Ramps,VL_15.mat,VL,15,2,5,90.0584177927928,9.748214524885745,0.10824323548870826,11.103903716150208,334
P01_iEMG_Ramps,VL_15.mat,VL,15,2,6,90.87344462386018,7.218558989739232,0.0794352961926117,11.004314892421664,330
P01_iEMG_Ramps,VL_15.mat,VL,15,2,7,121.20326733299595,10.796335889939423,0.0890762776244091,8.250602661169049,248
P01_iEMG_Ramps,VL_15.mat,VL,15,2,8,122.4761462602459,17.015568892712814,0.13892965620062,8.164855202703144,245
P01_iEMG_Ramps,VL_15.mat,VL,15,2,9,119.20287599601593,14.39343744488569,0.12074740080404399,8.389059338076898,252
P01_iEMG_Ramps,VL_15.mat,VL,15,2,10,158.46025182845744,38.820828259972906,0.24498779859316858,6.310730851813608,189
P01_iEMG_Ramps,VL_15.mat,VL,15,3,1,94.91288442460318,6.174059297197819,0.06504974887895608,10.535977344513002,316
P01_iEMG_Ramps,VL_15.mat,VL,15,3,2,83.5162234505571,7.953056065587699,0.09522767837192771,11.973721496063762,360
P01_iEMG_Ramps,VL_15.mat,VL,15,3,3,123.73571474690083,25.003028167349708,0.20206799805935538,8.08174100780427,243
P01_iEMG_Ramps,VL_15.mat,VL,15,3,4,121.34283274291498,26.832936263378688,0.2211332606700285,8.241113029878466,248
P01_iEMG_Ramps,VL_15.mat,VL,15,3,5,90.53206429380664,8.02841180712173,0.08868031309953195,11.045810208797047,332
