# File: P1_S1_F20_3_TA_MUedit.mat_decomp_100It_iEMG_DEMUSEEDIT_C.mat
# Muscle: TA
# Force Level: 1% MVC
# Values are spike times in seconds
#
#
Spike_Time,MU,Muscle,Force_Level,Plateau
10.0111328125,1,TA,1,1
10.09892578125,1,TA,1,1
10.191796875,1,TA,1,1
10.279296875,1,TA,1,1
10.37822265625,1,TA,1,1
10.4685546875,1,TA,1,1
10.54453125,1,TA,1,1
10.6259765625,1,TA,1,1
10.71298828125,1,TA,1,1
10.79140625,1,TA,1,1
10.87490234375,1,TA,1,1
10.95087890625,1,TA,1,1
11.03759765625,1,TA,1,1
11.1171875,1,TA,1,1
11.19765625,1,TA,1,1
11.27841796875,1,TA,1,1
11.34931640625,1,TA,1,1
11.4341796875,1,TA,1,1
11.52216796875,1,TA,1,1
11.62236328125,1,TA,1,1
11.70927734375,1,TA,1,1
11.78349609375,1,TA,1,1
11.865234375,1,TA,1,1
11.949609375,1,TA,1,1
12.0271484375,1,TA,1,1
12.11455078125,1,TA,1,1
12.20859375,1,TA,1,1
12.29375,1,TA,1,1
12.389453125,1,TA,1,1
12.47685546875,1,TA,1,1
12.56357421875,1,TA,1,1
12.64931640625,1,TA,1,1
12.7353515625,1,TA,1,1
12.82490234375,1,TA,1,1
12.9,1,TA,1,1
12.992578125,1,TA,1,1
13.06708984375,1,TA,1,1
13.15576171875,1,TA,1,1
13.23720703125,1,TA,1,1
13.32431640625,1,TA,1,1
13.41328125,1,TA,1,1
13.5025390625,1,TA,1,1
13.5802734375,1,TA,1,1
13.66875,1,TA,1,1
13.75068359375,1,TA,1,1
13.840625,1,TA,1,1
13.912890625,1,TA,1,1
14.00869140625,1,TA,1,1
14.0841796875,1,TA,1,1
14.16650390625,1,TA,1,1
14.254296875,1,TA,1,1
14.34609375,1,TA,1,1
14.42685546875,1,TA,1,1
14.5142578125,1,TA,1,1
14.604296875,1,TA,1,1
14.68525390625,1,TA,1,1
14.77412109375,1,TA,1,1
14.85283203125,1,TA,1,1
14.93173828125,1,TA,1,1
15.01240234375,1,TA,1,1
15.10390625,1,TA,1,1
15.19775390625,1,TA,1,1
15.29482421875,1,TA,1,1
15.37099609375,1,TA,1,1
15.44931640625,1,TA,1,1
15.53681640625,1,TA,1,1
15.634375,1,TA,1,1
15.72080078125,1,TA,1,1
15.79638671875,1,TA,1,1
15.8876953125,1,TA,1,1
15.96875,1,TA,1,1
16.04501953125,1,TA,1,1
16.13701171875,1,TA,1,1
16.221484375,1,TA,1,1
16.298046875,1,TA,1,1
16.3794921875,1,TA,1,1
16.45087890625,1,TA,1,1
16.53212890625,1,TA,1,1
16.6146484375,1,TA,1,1
16.69150390625,1,TA,1,1
16.77060546875,1,TA,1,1
16.84609375,1,TA,1,1
16.92578125,1,TA,1,1
17.0041015625,1,TA,1,1
17.0865234375,1,TA,1,1
17.1607421875,1,TA,1,1
17.246484375,1,TA,1,1
17.31513671875,1,TA,1,1
17.3951171875,1,TA,1,1
17.47568359375,1,TA,1,1
17.54306640625,1,TA,1,1
17.6271484375,1,TA,1,1
17.70380859375,1,TA,1,1
17.78896484375,1,TA,1,1
17.8755859375,1,TA,1,1
17.95146484375,1,TA,1,1
18.029296875,1,TA,1,1
18.1146484375,1,TA,1,1
18.1947265625,1,TA,1,1
18.2685546875,1,TA,1,1
18.34189453125,1,TA,1,1
18.42578125,1,TA,1,1
18.50625,1,TA,1,1
18.57900390625,1,TA,1,1
18.6572265625,1,TA,1,1
18.73837890625,1,TA,1,1
18.81494140625,1,TA,1,1
18.89453125,1,TA,1,1
18.96630859375,1,TA,1,1
19.04306640625,1,TA,1,1
19.13076171875,1,TA,1,1
19.1958984375,1,TA,1,1
19.27412109375,1,TA,1,1
19.3513671875,1,TA,1,1
19.4330078125,1,TA,1,1
19.5078125,1,TA,1,1
19.5841796875,1,TA,1,1
19.670703125,1,TA,1,1
19.7431640625,1,TA,1,1
19.8162109375,1,TA,1,1
19.88466796875,1,TA,1,1
19.96025390625,1,TA,1,1
38.0509765625,1,TA,1,2
38.134375,1,TA,1,2
38.21865234375,1,TA,1,2
38.29072265625,1,TA,1,2
38.37412109375,1,TA,1,2
38.45908203125,1,TA,1,2
38.54736328125,1,TA,1,2
38.63291015625,1,TA,1,2
38.7171875,1,TA,1,2
38.79541015625,1,TA,1,2
38.880859375,1,TA,1,2
38.94990234375,1,TA,1,2
39.034765625,1,TA,1,2
39.12138671875,1,TA,1,2
39.19072265625,1,TA,1,2
39.26982421875,1,TA,1,2
39.3626953125,1,TA,1,2
39.44560546875,1,TA,1,2
39.52314453125,1,TA,1,2
39.607421875,1,TA,1,2
39.68408203125,1,TA,1,2
39.77119140625,1,TA,1,2
39.8515625,1,TA,1,2
39.93056640625,1,TA,1,2
40.0138671875,1,TA,1,2
40.09443359375,1,TA,1,2
40.1751953125,1,TA,1,2
40.2611328125,1,TA,1,2
40.3416015625,1,TA,1,2
40.42041015625,1,TA,1,2
40.50537109375,1,TA,1,2
40.58369140625,1,TA,1,2
40.6701171875,1,TA,1,2
40.74931640625,1,TA,1,2
40.83203125,1,TA,1,2
40.92333984375,1,TA,1,2
41.01904296875,1,TA,1,2
41.113671875,1,TA,1,2
41.20263671875,1,TA,1,2
41.28583984375,1,TA,1,2
41.37119140625,1,TA,1,2
41.45400390625,1,TA,1,2
41.5404296875,1,TA,1,2
41.62998046875,1,TA,1,2
41.7068359375,1,TA,1,2
41.78671875,1,TA,1,2
41.87353515625,1,TA,1,2
41.9669921875,1,TA,1,2
42.05888671875,1,TA,1,2
42.15,1,TA,1,2
42.228125,1,TA,1,2
42.34560546875,1,TA,1,2
42.4443359375,1,TA,1,2
42.5302734375,1,TA,1,2
42.62646484375,1,TA,1,2
42.7134765625,1,TA,1,2
42.79638671875,1,TA,1,2
42.88330078125,1,TA,1,2
42.98291015625,1,TA,1,2
43.07763671875,1,TA,1,2
43.179296875,1,TA,1,2
43.2703125,1,TA,1,2
43.35263671875,1,TA,1,2
43.444140625,1,TA,1,2
43.54970703125,1,TA,1,2
43.63505859375,1,TA,1,2
43.73076171875,1,TA,1,2
43.82861328125,1,TA,1,2
43.92255859375,1,TA,1,2
44.0177734375,1,TA,1,2
44.105078125,1,TA,1,2
44.19599609375,1,TA,1,2
44.29052734375,1,TA,1,2
44.36064453125,1,TA,1,2
44.4478515625,1,TA,1,2
44.5396484375,1,TA,1,2
44.62607421875,1,TA,1,2
44.7150390625,1,TA,1,2
44.79853515625,1,TA,1,2
44.89091796875,1,TA,1,2
44.97158203125,1,TA,1,2
45.05595703125,1,TA,1,2
45.15126953125,1,TA,1,2
45.24345703125,1,TA,1,2
45.32939453125,1,TA,1,2
45.41884765625,1,TA,1,2
45.50732421875,1,TA,1,2
45.59755859375,1,TA,1,2
45.67509765625,1,TA,1,2
45.7638671875,1,TA,1,2
45.85888671875,1,TA,1,2
45.9404296875,1,TA,1,2
46.027734375,1,TA,1,2
46.1228515625,1,TA,1,2
46.2193359375,1,TA,1,2
46.3208984375,1,TA,1,2
46.41943359375,1,TA,1,2
46.5095703125,1,TA,1,2
46.5841796875,1,TA,1,2
46.68798828125,1,TA,1,2
46.77763671875,1,TA,1,2
46.86748046875,1,TA,1,2
46.96767578125,1,TA,1,2
47.04716796875,1,TA,1,2
47.1296875,1,TA,1,2
47.2283203125,1,TA,1,2
47.33544921875,1,TA,1,2
47.41787109375,1,TA,1,2
47.5015625,1,TA,1,2
47.5951171875,1,TA,1,2
47.6859375,1,TA,1,2
47.773046875,1,TA,1,2
47.8724609375,1,TA,1,2
47.9693359375,1,TA,1,2
10.03125,2,TA,1,1
10.13330078125,2,TA,1,1
10.23564453125,2,TA,1,1
10.3634765625,2,TA,1,1
10.48212890625,2,TA,1,1
10.5822265625,2,TA,1,1
10.66015625,2,TA,1,1
10.75458984375,2,TA,1,1
10.83740234375,2,TA,1,1
10.9359375,2,TA,1,1
11.038671875,2,TA,1,1
11.1376953125,2,TA,1,1
11.2357421875,2,TA,1,1
11.323046875,2,TA,1,1
11.4171875,2,TA,1,1
11.51513671875,2,TA,1,1
11.62119140625,2,TA,1,1
11.718359375,2,TA,1,1
11.79677734375,2,TA,1,1
11.8919921875,2,TA,1,1
11.996875,2,TA,1,1
12.0826171875,2,TA,1,1
12.1888671875,2,TA,1,1
12.28056640625,2,TA,1,1
12.3861328125,2,TA,1,1
12.483203125,2,TA,1,1
12.5833984375,2,TA,1,1
12.69599609375,2,TA,1,1
12.79638671875,2,TA,1,1
12.88251953125,2,TA,1,1
12.9849609375,2,TA,1,1
13.07119140625,2,TA,1,1
13.1720703125,2,TA,1,1
13.2748046875,2,TA,1,1
13.37626953125,2,TA,1,1
13.4806640625,2,TA,1,1
13.578125,2,TA,1,1
13.67080078125,2,TA,1,1
13.78505859375,2,TA,1,1
13.8814453125,2,TA,1,1
13.971484375,2,TA,1,1
14.073828125,2,TA,1,1
14.17197265625,2,TA,1,1
14.27353515625,2,TA,1,1
14.3712890625,2,TA,1,1
14.46796875,2,TA,1,1
14.573046875,2,TA,1,1
14.67998046875,2,TA,1,1
14.774609375,2,TA,1,1
14.8642578125,2,TA,1,1
14.9462890625,2,TA,1,1
15.041015625,2,TA,1,1
15.1330078125,2,TA,1,1
15.2578125,2,TA,1,1
15.3435546875,2,TA,1,1
15.42666015625,2,TA,1,1
15.51376953125,2,TA,1,1
15.63408203125,2,TA,1,1
15.72998046875,2,TA,1,1
15.81455078125,2,TA,1,1
15.91591796875,2,TA,1,1
15.9998046875,2,TA,1,1
16.08193359375,2,TA,1,1
16.1646484375,2,TA,1,1
16.25146484375,2,TA,1,1
16.3376953125,2,TA,1,1
16.42431640625,2,TA,1,1
16.5041015625,2,TA,1,1
16.58095703125,2,TA,1,1
16.65927734375,2,TA,1,1
16.74130859375,2,TA,1,1
16.8248046875,2,TA,1,1
16.910546875,2,TA,1,1
16.9896484375,2,TA,1,1
17.07822265625,2,TA,1,1
17.14990234375,2,TA,1,1
17.245703125,2,TA,1,1
17.3173828125,2,TA,1,1
17.39501953125,2,TA,1,1
17.47998046875,2,TA,1,1
17.557421875,2,TA,1,1
17.6361328125,2,TA,1,1
17.71650390625,2,TA,1,1
17.79501953125,2,TA,1,1
17.885546875,2,TA,1,1
17.9705078125,2,TA,1,1
18.05205078125,2,TA,1,1
18.13857421875,2,TA,1,1
18.2224609375,2,TA,1,1
18.30625,2,TA,1,1
18.3923828125,2,TA,1,1
18.4689453125,2,TA,1,1
18.5505859375,2,TA,1,1
18.63427734375,2,TA,1,1
18.72138671875,2,TA,1,1
18.81142578125,2,TA,1,1
18.88369140625,2,TA,1,1
18.96494140625,2,TA,1,1
19.04541015625,2,TA,1,1
19.1353515625,2,TA,1,1
19.20546875,2,TA,1,1
19.2802734375,2,TA,1,1
19.36259765625,2,TA,1,1
19.44296875,2,TA,1,1
19.521484375,2,TA,1,1
19.6048828125,2,TA,1,1
19.6890625,2,TA,1,1
19.77021484375,2,TA,1,1
19.84716796875,2,TA,1,1
19.92197265625,2,TA,1,1
38.05087890625,2,TA,1,2
38.13876953125,2,TA,1,2
38.23037109375,2,TA,1,2
38.3244140625,2,TA,1,2
38.42392578125,2,TA,1,2
38.51259765625,2,TA,1,2
38.6,2,TA,1,2
38.69716796875,2,TA,1,2
38.78125,2,TA,1,2
38.86640625,2,TA,1,2
38.95078125,2,TA,1,2
39.0458984375,2,TA,1,2
39.134375,2,TA,1,2
39.22294921875,2,TA,1,2
39.31845703125,2,TA,1,2
39.40986328125,2,TA,1,2
39.50380859375,2,TA,1,2
39.590234375,2,TA,1,2
39.669140625,2,TA,1,2
39.76552734375,2,TA,1,2
39.85390625,2,TA,1,2
39.94169921875,2,TA,1,2
40.03408203125,2,TA,1,2
40.135546875,2,TA,1,2
40.21806640625,2,TA,1,2
40.31357421875,2,TA,1,2
40.3939453125,2,TA,1,2
40.48388671875,2,TA,1,2
40.583984375,2,TA,1,2
40.67802734375,2,TA,1,2
40.7798828125,2,TA,1,2
40.86220703125,2,TA,1,2
40.97060546875,2,TA,1,2
41.08564453125,2,TA,1,2
41.1791015625,2,TA,1,2
41.2765625,2,TA,1,2
41.36572265625,2,TA,1,2
41.44990234375,2,TA,1,2
