filename,plateau1_start,plateau1_end,plateau2_start,plateau2_end
FDI_MUs_1/90Deg_F1_1_plateau_iAll_MUedit.mat_decomp_70It_FDI_DEMUSEEDIT_cut_C.mat,7,23,33,45
FDI_MUs_2/90Deg_F1_1_plateau_iAll_MUedit.mat_decomp_120It_FDI_DEMUSEEDIT_cut_C.mat,7,23,33,45
