filename,plateau1_start,plateau1_end,plateau2_start,plateau2_end
P1_S1_F20_1_TA_MUedit.mat_decomp_100It_iEMG_DEMUSEEDIT_C.mat,8,18,31,41
P1_S1_F20_2_TA_MUedit.mat_decomp_100It_iEMG_DEMUSEEDIT_C.mat,10,20,38,48
P1_S1_F20_3_TA_MUedit.mat_decomp_100It_iEMG_DEMUSEEDIT_C.mat,10,20,38,48
P1_S1_F40_1_TA_MUedit.mat_decomp_100It_iEMG_DEMUSEEDIT_C.mat,15,25,51,61
P1_S1_F40_2_TA_MUedit.mat_decomp_100It_iEMG_DEMUSEEDIT_C.mat,15,25,50,60
