time,força_total,rate
0.0,8.16195976587e-312,89.0
0.05,8.16534059756e-312,89.0
0.1,0.0,89.0
0.15000000000000002,0.0,89.0
0.2,0.0,89.0
0.25,0.0,89.0
0.30000000000000004,0.0,89.0
0.35000000000000003,0.0,89.0
0.4,0.0,89.0
0.45,0.0,89.0
0.5,0.0,89.0
0.55,0.0,89.0
0.6000000000000001,0.0,89.0
0.65,0.0,89.0
0.7000000000000001,0.0,89.0
0.75,0.0,89.0
0.8,0.0,89.0
0.8500000000000001,0.0,89.0
0.9,0.0,89.0
0.9500000000000001,0.0,89.0
1.0,0.0,89.0
1.05,0.0,89.0
1.1,0.0,89.0
1.1500000000000001,0.0,89.0
1.2000000000000002,0.0,89.0
1.25,0.0,89.0
1.3,0.0,89.0
1.35,0.0,89.0
1.4000000000000001,0.0,89.0
1.4500000000000002,0.0,89.0
1.5,0.0,89.0
1.55,0.0,89.0
1.6,0.0,89.0
1.6500000000000001,0.0,89.0
1.7000000000000002,0.0,89.0
1.75,0.0,89.0
1.8,0.0,89.0
1.85,0.0,89.0
1.9000000000000001,0.0,89.0
1.9500000000000002,0.0,89.0
2.0,0.0,89.0
2.0500000000000003,0.0,89.0
2.1,0.0,89.0
2.15,0.0,89.0
2.2,0.0,89.0
2.25,0.0,89.0
2.3000000000000003,0.0,89.0
2.35,0.0,89.0
2.4000000000000004,0.0,89.0
2.45,0.0,89.0
2.5,0.0,89.0
2.5500000000000003,0.0,89.0
2.6,0.0,89.0
2.6500000000000004,0.0,89.0
2.7,0.0,89.0
2.75,0.0,89.0
2.8000000000000003,0.0,89.0
2.85,0.0,89.0
2.9000000000000004,0.0,89.0
2.95,0.0,89.0
3.0,0.0,89.0
3.0500000000000003,0.0,89.0
3.1,0.0,89.0
3.1500000000000004,0.0002969156965111244,88.99999703084303
3.2,0.0005936131769540681,88.99999406386823
3.25,0.0013639726813819716,88.99998636027318
3.3000000000000003,0.0024001596634956575,88.99997599840337
3.35,0.003611579692957214,88.99996388420307
3.4000000000000004,0.004822112284709367,88.99995177887715
3.45,0.006031757926232934,88.99993968242073
3.5,0.007327825570122578,88.9999267217443
3.5500000000000003,0.009645122472986255,88.99990354877526
3.6,0.011960662392986699,88.99988039337607
3.6500000000000004,0.017028609057828444,88.99982971390942
3.7,0.022092664240870925,88.99977907335759
3.75,0.02735876361297427,88.99972641236387
3.8000000000000003,0.03262082609348612,88.99967379173907
3.85,0.038830540879121835,88.99961169459121
3.9000000000000004,0.04587324596320334,88.99954126754037
3.95,0.0538973400873692,88.99946102659912
4.0,0.06191523812180186,88.99938084761878
4.05,0.07004362618615696,88.99929956373813
4.1000000000000005,0.07816574121499474,88.99921834258785
4.15,0.0880696611048637,88.99911930338895
4.2,0.09864515618429597,88.99901354843816
4.25,0.11064062559822105,88.99889359374401
4.3,0.12421064639046718,88.9987578935361
4.3500000000000005,0.1377700335938101,88.99862229966406
4.4,0.1513187934617721,88.99848681206538
4.45,0.16547029498895738,88.99834529705011
4.5,0.180739878333427,88.99819260121667
4.55,0.1981053365589614,88.99801894663442
