# File: VL_15.mat, Muscle: VL, Force Level: 15% MVC
# Plateau 1: 6.94s - 37.00s
# Plateau 2: 51.88s - 81.94s
# Plateau 3: 96.81s - 126.88s
# Plateau 4: 141.75s - 171.81s
# Values are spike times in seconds
Spike_Time,MU,Muscle,Force_Level,Plateau
7.04150390625,1,VL,15,1
7.162109375,1,VL,15,1
7.28193359375,1,VL,15,1
7.412109375,1,VL,15,1
7.5265625,1,VL,15,1
7.65126953125,1,VL,15,1
7.77451171875,1,VL,15,1
7.903125,1,VL,15,1
8.02333984375,1,VL,15,1
8.1373046875,1,VL,15,1
8.2638671875,1,VL,15,1
8.38603515625,1,VL,15,1
8.5197265625,1,VL,15,1
8.642578125,1,VL,15,1
8.75615234375,1,VL,15,1
8.87587890625,1,VL,15,1
8.9970703125,1,VL,15,1
9.11591796875,1,VL,15,1
9.24814453125,1,VL,15,1
9.36826171875,1,VL,15,1
9.48359375,1,VL,15,1
9.60654296875,1,VL,15,1
9.72607421875,1,VL,15,1
9.85205078125,1,VL,15,1
9.98359375,1,VL,15,1
10.1046875,1,VL,15,1
10.22109375,1,VL,15,1
10.349609375,1,VL,15,1
10.476953125,1,VL,15,1
10.59501953125,1,VL,15,1
10.71552734375,1,VL,15,1
10.82802734375,1,VL,15,1
10.94453125,1,VL,15,1
11.062109375,1,VL,15,1
11.1935546875,1,VL,15,1
11.31220703125,1,VL,15,1
11.43037109375,1,VL,15,1
11.54892578125,1,VL,15,1
11.6732421875,1,VL,15,1
11.79365234375,1,VL,15,1
11.90322265625,1,VL,15,1
12.023828125,1,VL,15,1
12.15166015625,1,VL,15,1
12.2859375,1,VL,15,1
12.40869140625,1,VL,15,1
12.53623046875,1,VL,15,1
12.65771484375,1,VL,15,1
12.7826171875,1,VL,15,1
12.89921875,1,VL,15,1
13.01474609375,1,VL,15,1
13.13447265625,1,VL,15,1
13.24521484375,1,VL,15,1
13.365234375,1,VL,15,1
13.47880859375,1,VL,15,1
13.597265625,1,VL,15,1
13.71875,1,VL,15,1
13.84033203125,1,VL,15,1
13.96123046875,1,VL,15,1
14.0791015625,1,VL,15,1
14.19638671875,1,VL,15,1
14.309375,1,VL,15,1
14.423046875,1,VL,15,1
14.536328125,1,VL,15,1
14.66689453125,1,VL,15,1
14.78955078125,1,VL,15,1
14.9068359375,1,VL,15,1
15.03115234375,1,VL,15,1
15.1458984375,1,VL,15,1
15.2650390625,1,VL,15,1
15.38544921875,1,VL,15,1
15.49248046875,1,VL,15,1
15.62041015625,1,VL,15,1
15.72734375,1,VL,15,1
15.82802734375,1,VL,15,1
15.9595703125,1,VL,15,1
16.07734375,1,VL,15,1
16.18837890625,1,VL,15,1
16.299609375,1,VL,15,1
16.41103515625,1,VL,15,1
16.528125,1,VL,15,1
16.648828125,1,VL,15,1
16.7697265625,1,VL,15,1
16.88359375,1,VL,15,1
17.00078125,1,VL,15,1
17.11171875,1,VL,15,1
17.22578125,1,VL,15,1
17.33330078125,1,VL,15,1
17.4408203125,1,VL,15,1
17.54365234375,1,VL,15,1
17.66513671875,1,VL,15,1
17.7810546875,1,VL,15,1
17.8962890625,1,VL,15,1
18.0173828125,1,VL,15,1
18.12265625,1,VL,15,1
18.221484375,1,VL,15,1
18.34130859375,1,VL,15,1
18.46025390625,1,VL,15,1
18.57763671875,1,VL,15,1
18.6939453125,1,VL,15,1
18.80849609375,1,VL,15,1
18.91005859375,1,VL,15,1
19.01962890625,1,VL,15,1
19.13447265625,1,VL,15,1
19.2525390625,1,VL,15,1
19.36171875,1,VL,15,1
19.475,1,VL,15,1
19.58935546875,1,VL,15,1
19.705859375,1,VL,15,1
19.82197265625,1,VL,15,1
19.9373046875,1,VL,15,1
20.04716796875,1,VL,15,1
20.16279296875,1,VL,15,1
20.27353515625,1,VL,15,1
20.38349609375,1,VL,15,1
20.50498046875,1,VL,15,1
20.624609375,1,VL,15,1
20.72939453125,1,VL,15,1
20.8599609375,1,VL,15,1
20.973046875,1,VL,15,1
21.098828125,1,VL,15,1
21.21533203125,1,VL,15,1
21.33193359375,1,VL,15,1
21.45166015625,1,VL,15,1
21.5587890625,1,VL,15,1
21.68359375,1,VL,15,1
21.80693359375,1,VL,15,1
21.93515625,1,VL,15,1
22.043359375,1,VL,15,1
22.1619140625,1,VL,15,1
22.2701171875,1,VL,15,1
22.37783203125,1,VL,15,1
22.49853515625,1,VL,15,1
22.60712890625,1,VL,15,1
22.724609375,1,VL,15,1
22.84560546875,1,VL,15,1
22.97041015625,1,VL,15,1
23.09150390625,1,VL,15,1
23.21337890625,1,VL,15,1
23.33369140625,1,VL,15,1
23.452734375,1,VL,15,1
23.573046875,1,VL,15,1
23.6939453125,1,VL,15,1
23.82158203125,1,VL,15,1
23.95712890625,1,VL,15,1
24.07900390625,1,VL,15,1
24.21181640625,1,VL,15,1
24.334765625,1,VL,15,1
24.4634765625,1,VL,15,1
24.57333984375,1,VL,15,1
24.701171875,1,VL,15,1
24.8140625,1,VL,15,1
24.92646484375,1,VL,15,1
25.03251953125,1,VL,15,1
25.15634765625,1,VL,15,1
25.28076171875,1,VL,15,1
25.4017578125,1,VL,15,1
25.52958984375,1,VL,15,1
25.6505859375,1,VL,15,1
25.77763671875,1,VL,15,1
25.8943359375,1,VL,15,1
26.01806640625,1,VL,15,1
26.1416015625,1,VL,15,1
26.26025390625,1,VL,15,1
26.3830078125,1,VL,15,1
26.5017578125,1,VL,15,1
26.62724609375,1,VL,15,1
26.7544921875,1,VL,15,1
26.88984375,1,VL,15,1
27.00859375,1,VL,15,1
27.11884765625,1,VL,15,1
27.2302734375,1,VL,15,1
27.35341796875,1,VL,15,1
27.4826171875,1,VL,15,1
27.6078125,1,VL,15,1
27.73564453125,1,VL,15,1
27.86474609375,1,VL,15,1
27.97744140625,1,VL,15,1
28.10244140625,1,VL,15,1
28.22841796875,1,VL,15,1
28.34462890625,1,VL,15,1
28.4634765625,1,VL,15,1
28.57666015625,1,VL,15,1
28.703515625,1,VL,15,1
28.82275390625,1,VL,15,1
28.93203125,1,VL,15,1
29.04560546875,1,VL,15,1
29.15537109375,1,VL,15,1
29.26943359375,1,VL,15,1
29.41005859375,1,VL,15,1
29.53203125,1,VL,15,1
29.6544921875,1,VL,15,1
29.78134765625,1,VL,15,1
29.902734375,1,VL,15,1
30.019921875,1,VL,15,1
30.14755859375,1,VL,15,1
30.27099609375,1,VL,15,1
30.38232421875,1,VL,15,1
30.502734375,1,VL,15,1
30.62666015625,1,VL,15,1
30.7505859375,1,VL,15,1
30.87412109375,1,VL,15,1
30.9935546875,1,VL,15,1
31.11767578125,1,VL,15,1
31.24365234375,1,VL,15,1
31.36025390625,1,VL,15,1
31.48046875,1,VL,15,1
31.59951171875,1,VL,15,1
31.72919921875,1,VL,15,1
